cluster_id;centroid_x;centroid_y;centroid_z;num_points;views_seen;ply_file
1;-0.07540211826562881;-0.10759709775447845;-0.2586871087551117;20072;0;cluster_001.ply
2;-0.01904889941215515;-0.03301667422056198;-0.31849145889282227;14105;1;cluster_002.ply
3;-0.13181722164154053;-0.004451338201761246;-0.2079544961452484;18780;2;cluster_003.ply
