cluster_id;centroid_x;centroid_y;centroid_z;num_points;views_seen;ply_file
1;-0.09489787369966507;-0.09348805248737335;-0.23517480492591858;15000;0;cluster_001.ply
2;-0.027090884745121002;-0.006363260559737682;-0.2982527017593384;9183;1;cluster_002.ply
3;-0.11826396733522415;0.02166667953133583;-0.21011567115783691;8609;2;cluster_003.ply
