epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.562,1.18175,3.14515,1.15148,0.01133,0.51515,0.02273,0.01855,0.7966,3.27734,0.92512,0.00012,0.00012,0.00012
2,57.5293,1.11968,2.20796,1.00776,0.0128,0.58182,0.03696,0.02931,0.8093,3.06827,0.90101,0.0001742,0.0001742,0.0001742
3,85.0203,0.90597,1.4623,0.93166,0.01373,0.62424,0.14954,0.12562,0.84882,2.9189,0.90965,0.000136,0.000136,0.000136
