epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,905.592,0.51834,0.66485,0.31236,0.83078,0.97236,0.87682,0.93633,0.81527,0.97236,0.87682,0.93076,0.79009,0.47266,0.63495,0.27751,0.82206,0.0014258,0.0014258,0.0014258
31,935.689,0.51924,0.67453,0.31264,0.83084,0.96484,0.89141,0.94097,0.81999,0.96164,0.88331,0.9356,0.79423,0.47182,0.6406,0.27145,0.82071,0.001406,0.001406,0.001406
32,965.178,0.5107,0.66158,0.30828,0.82936,0.98897,0.87179,0.94268,0.81832,0.98613,0.86386,0.93417,0.79642,0.46602,0.63772,0.26069,0.82143,0.0013862,0.0013862,0.0013862
33,992.818,0.51155,0.65724,0.30676,0.83123,0.985,0.87358,0.93961,0.82418,0.97082,0.88655,0.94388,0.82055,0.46581,0.63533,0.26167,0.82072,0.0013664,0.0013664,0.0013664
34,1032.27,0.51183,0.66155,0.30868,0.83115,0.97291,0.87324,0.93709,0.81525,0.97653,0.87648,0.93537,0.80392,0.47784,0.61695,0.27219,0.82179,0.0013466,0.0013466,0.0013466
35,1067.61,0.50892,0.65384,0.30219,0.8294,0.96494,0.88331,0.9308,0.81213,0.96955,0.87728,0.92663,0.79201,0.47017,0.65225,0.27183,0.82202,0.0013268,0.0013268,0.0013268
36,1098.38,0.5089,0.65323,0.30174,0.82926,0.97833,0.87815,0.93745,0.82345,0.96579,0.88493,0.94033,0.81633,0.46695,0.63012,0.25616,0.82082,0.001307,0.001307,0.001307
37,1127.62,0.5072,0.65758,0.29845,0.82795,0.96611,0.88979,0.93757,0.81553,0.96872,0.88493,0.93082,0.78335,0.46929,0.63686,0.2727,0.82252,0.0012872,0.0012872,0.0012872
38,1157.32,0.50992,0.6581,0.30163,0.83095,0.9515,0.90113,0.93708,0.81689,0.97225,0.88169,0.93754,0.79199,0.46673,0.63125,0.25677,0.82168,0.0012674,0.0012674,0.0012674
39,1187.08,0.50004,0.64967,0.29784,0.82798,0.97197,0.89931,0.93746,0.81724,0.97528,0.87844,0.93101,0.77715,0.46859,0.65515,0.25931,0.82082,0.0012476,0.0012476,0.0012476
40,1218.05,0.49964,0.64858,0.2985,0.82868,0.97687,0.88991,0.93745,0.81392,0.97331,0.88667,0.93477,0.77615,0.46201,0.61786,0.26254,0.81895,0.0012278,0.0012278,0.0012278
41,1247.61,0.50642,0.66801,0.29998,0.8264,0.96817,0.88742,0.94377,0.82817,0.9828,0.88655,0.94193,0.80901,0.45691,0.62361,0.25085,0.81742,0.001208,0.001208,0.001208
42,1277.11,0.49857,0.64789,0.29567,0.82645,0.97144,0.88979,0.94226,0.82666,0.96734,0.88493,0.93513,0.80646,0.45981,0.61228,0.25588,0.81828,0.0011882,0.0011882,0.0011882
43,1306,0.50637,0.65091,0.29866,0.82629,0.95817,0.89141,0.942,0.82382,0.96901,0.8752,0.93572,0.79038,0.45824,0.64391,0.25888,0.819,0.0011684,0.0011684,0.0011684
44,1335.56,0.4946,0.6376,0.29455,0.82524,0.96954,0.87712,0.93723,0.82151,0.97314,0.88083,0.93574,0.79035,0.45838,0.61999,0.25706,0.81889,0.0011486,0.0011486,0.0011486
45,1364.99,0.49375,0.64965,0.29252,0.82454,0.98101,0.88006,0.94006,0.82498,0.98496,0.88169,0.94215,0.80841,0.4815,0.63364,0.25817,0.82167,0.0011288,0.0011288,0.0011288
46,1393.77,0.48653,0.62811,0.28843,0.82719,0.97128,0.87706,0.93868,0.82692,0.97854,0.88331,0.94052,0.80858,0.45466,0.63703,0.25048,0.81857,0.001109,0.001109,0.001109
47,1422.53,0.48331,0.62038,0.28582,0.82133,0.96966,0.88045,0.94175,0.82298,0.96966,0.88045,0.93492,0.79097,0.45232,0.61977,0.25412,0.81813,0.0010892,0.0010892,0.0010892
48,1451.69,0.48535,0.61781,0.28429,0.82347,0.97841,0.88169,0.94591,0.8328,0.97811,0.87358,0.9381,0.81073,0.44376,0.61515,0.24317,0.81747,0.0010694,0.0010694,0.0010694
49,1480.49,0.48465,0.6314,0.28406,0.82503,0.96521,0.90276,0.94495,0.83158,0.97505,0.89465,0.94716,0.82107,0.44703,0.60797,0.24198,0.81764,0.0010496,0.0010496,0.0010496
50,1508.97,0.48218,0.62463,0.28373,0.82194,0.95675,0.89627,0.94025,0.83256,0.97871,0.88006,0.94294,0.81412,0.44675,0.61217,0.24277,0.81631,0.0010298,0.0010298,0.0010298
51,1536.98,0.48713,0.62633,0.28157,0.82286,0.96854,0.89819,0.94164,0.82622,0.97066,0.89465,0.94294,0.79948,0.45222,0.62416,0.24864,0.81949,0.00101,0.00101,0.00101
52,1566.63,0.47422,0.60628,0.27705,0.82182,0.97856,0.88762,0.94147,0.83005,0.97278,0.88979,0.93807,0.79977,0.44862,0.6137,0.24709,0.81574,0.0009902,0.0009902,0.0009902
53,1596.23,0.48648,0.62766,0.28119,0.82356,0.97401,0.89627,0.94135,0.82617,0.97087,0.89303,0.94048,0.8072,0.46701,0.63833,0.24302,0.81852,0.0009704,0.0009704,0.0009704
54,1626.32,0.47204,0.60049,0.27464,0.82118,0.97449,0.88817,0.94301,0.83615,0.97338,0.88885,0.94371,0.81832,0.44432,0.61252,0.24032,0.81585,0.0009506,0.0009506,0.0009506
55,1655.41,0.47997,0.61892,0.28148,0.82193,0.96595,0.88817,0.93854,0.82759,0.97513,0.88331,0.94064,0.79899,0.45043,0.6263,0.24137,0.81758,0.0009308,0.0009308,0.0009308
56,1684.46,0.47462,0.61564,0.27648,0.82082,0.95394,0.90628,0.94485,0.83113,0.96839,0.88493,0.93998,0.80482,0.45644,0.62452,0.24369,0.81691,0.000911,0.000911,0.000911
57,1712.78,0.47242,0.60664,0.27729,0.81999,0.97413,0.88169,0.93808,0.82984,0.97489,0.88112,0.941,0.81012,0.46268,0.63597,0.24917,0.8186,0.0008912,0.0008912,0.0008912
58,1741.93,0.47068,0.60908,0.27231,0.82012,0.98075,0.88169,0.94356,0.83513,0.98372,0.88163,0.94382,0.8144,0.45569,0.6228,0.23817,0.81794,0.0008714,0.0008714,0.0008714
59,1770.71,0.46943,0.6026,0.27446,0.82158,0.97628,0.88817,0.9448,0.84124,0.98552,0.88268,0.94803,0.82851,0.44243,0.61716,0.24039,0.81546,0.0008516,0.0008516,0.0008516
60,1798.96,0.47137,0.61279,0.27514,0.8206,0.9789,0.88979,0.93953,0.83152,0.97534,0.88655,0.93923,0.81394,0.45318,0.61244,0.23669,0.817,0.0008318,0.0008318,0.0008318
61,1828.58,0.47135,0.61153,0.2734,0.82044,0.96496,0.88979,0.94169,0.8338,0.9785,0.8851,0.94333,0.81792,0.44784,0.63165,0.23898,0.81731,0.000812,0.000812,0.000812
62,1856.65,0.47872,0.61516,0.27497,0.82052,0.97868,0.89284,0.94481,0.83462,0.97868,0.89284,0.94341,0.81966,0.43882,0.61049,0.24191,0.81335,0.0007922,0.0007922,0.0007922
63,1884.13,0.46162,0.58774,0.26486,0.81705,0.97543,0.88979,0.94468,0.83533,0.97167,0.88655,0.94278,0.81981,0.43893,0.61036,0.23567,0.81396,0.0007724,0.0007724,0.0007724
64,1912.34,0.46255,0.59735,0.26605,0.81741,0.9702,0.89465,0.94488,0.83206,0.97353,0.89397,0.94456,0.8124,0.44849,0.61335,0.24072,0.81619,0.0007526,0.0007526,0.0007526
65,1940.63,0.46214,0.59245,0.26725,0.81896,0.98089,0.89465,0.94332,0.83158,0.98364,0.89465,0.94179,0.80668,0.44502,0.60681,0.23686,0.81541,0.0007328,0.0007328,0.0007328
66,1969.85,0.45935,0.59424,0.26491,0.81877,0.96866,0.9016,0.94771,0.83999,0.97863,0.89057,0.94858,0.82752,0.44009,0.61198,0.23056,0.81419,0.000713,0.000713,0.000713
67,1998.84,0.4611,0.58622,0.26405,0.8202,0.96701,0.90266,0.94589,0.84148,0.96697,0.90157,0.94465,0.8282,0.44382,0.61102,0.23085,0.81475,0.0006932,0.0006932,0.0006932
68,2027.53,0.46105,0.59959,0.26657,0.81759,0.96682,0.89722,0.94722,0.83725,0.9716,0.88713,0.94207,0.8126,0.44063,0.61471,0.23442,0.81536,0.0006734,0.0006734,0.0006734
69,2055.58,0.4572,0.58383,0.26035,0.81605,0.96532,0.90217,0.94687,0.84091,0.96882,0.9066,0.94978,0.83398,0.43912,0.61424,0.233,0.81435,0.0006536,0.0006536,0.0006536
70,2085.04,0.45,0.57726,0.25855,0.81559,0.96202,0.90329,0.94212,0.83795,0.9723,0.90276,0.94803,0.82384,0.43815,0.60321,0.22865,0.81498,0.0006338,0.0006338,0.0006338
71,2113.3,0.45476,0.57926,0.25941,0.81611,0.96538,0.89303,0.94533,0.83446,0.97187,0.89604,0.94975,0.82381,0.44997,0.6196,0.23695,0.81708,0.000614,0.000614,0.000614
72,2140.89,0.45487,0.57918,0.25816,0.8168,0.9785,0.88518,0.9467,0.83705,0.9802,0.88269,0.94373,0.82315,0.44444,0.60653,0.23589,0.81577,0.0005942,0.0005942,0.0005942
73,2169.38,0.44187,0.56636,0.25395,0.81228,0.97696,0.89789,0.94641,0.8405,0.97536,0.89813,0.95012,0.82831,0.43853,0.60305,0.22748,0.81607,0.0005744,0.0005744,0.0005744
74,2197.88,0.44482,0.57303,0.25341,0.81441,0.97496,0.89465,0.94482,0.83944,0.97563,0.89951,0.94795,0.82723,0.44754,0.61449,0.22724,0.81763,0.0005546,0.0005546,0.0005546
75,2226.38,0.44588,0.57034,0.25363,0.81407,0.98033,0.89141,0.94993,0.84023,0.98389,0.89465,0.9504,0.8228,0.43998,0.60145,0.22709,0.81481,0.0005348,0.0005348,0.0005348
76,2253.58,0.44308,0.57156,0.25087,0.81298,0.97541,0.90012,0.94445,0.83917,0.97718,0.90235,0.94507,0.82134,0.44152,0.61,0.22448,0.81477,0.000515,0.000515,0.000515
77,2281.75,0.44255,0.56804,0.25137,0.8135,0.98229,0.88817,0.94563,0.83631,0.98408,0.88979,0.94457,0.82019,0.44344,0.6177,0.22485,0.81653,0.0004952,0.0004952,0.0004952
78,2312.07,0.44249,0.57414,0.2512,0.81648,0.9652,0.89627,0.94302,0.83948,0.96556,0.89789,0.94669,0.82216,0.44768,0.61632,0.22581,0.81578,0.0004754,0.0004754,0.0004754
79,2342.05,0.44291,0.57158,0.25163,0.81427,0.97357,0.8954,0.94732,0.83928,0.97529,0.89563,0.94457,0.81591,0.4359,0.61082,0.22087,0.81441,0.0004556,0.0004556,0.0004556
80,2371.72,0.43893,0.57079,0.24681,0.81479,0.97355,0.89476,0.95062,0.83998,0.97485,0.89465,0.9488,0.82494,0.43365,0.61723,0.22767,0.81362,0.0004358,0.0004358,0.0004358
81,2401.93,0.44241,0.57042,0.24921,0.81445,0.98749,0.89563,0.95046,0.84089,0.9857,0.89401,0.9476,0.82129,0.44618,0.6062,0.22138,0.8148,0.000416,0.000416,0.000416
82,2431.67,0.43407,0.55123,0.245,0.81287,0.97291,0.89627,0.95268,0.84264,0.97036,0.90214,0.95362,0.82731,0.44138,0.60343,0.22303,0.8145,0.0003962,0.0003962,0.0003962
83,2476.87,0.43653,0.55796,0.24544,0.8132,0.96326,0.90276,0.94843,0.84381,0.97036,0.90203,0.94606,0.82832,0.43543,0.59988,0.22295,0.81446,0.0003764,0.0003764,0.0003764
84,2521.55,0.43043,0.55259,0.24229,0.81282,0.98214,0.89124,0.94934,0.8402,0.97956,0.88979,0.949,0.8221,0.43704,0.61196,0.22288,0.81433,0.0003566,0.0003566,0.0003566
85,2567.13,0.43367,0.56006,0.24197,0.81263,0.94873,0.91248,0.94904,0.84344,0.96932,0.89789,0.95094,0.82759,0.43795,0.60815,0.22207,0.81379,0.0003368,0.0003368,0.0003368
86,2612.41,0.43452,0.56301,0.24087,0.81413,0.97025,0.89867,0.95202,0.84076,0.96637,0.90762,0.95142,0.82926,0.44208,0.61802,0.22044,0.81429,0.000317,0.000317,0.000317
87,2657.86,0.43165,0.55858,0.24111,0.81066,0.98123,0.89141,0.94948,0.84332,0.9815,0.89141,0.94622,0.82805,0.44033,0.61135,0.21878,0.81415,0.0002972,0.0002972,0.0002972
88,2701.98,0.43135,0.55858,0.24079,0.81095,0.95788,0.90438,0.94796,0.84096,0.95788,0.90438,0.94911,0.82702,0.43547,0.59804,0.21873,0.813,0.0002774,0.0002774,0.0002774
89,2734.61,0.42404,0.54992,0.23753,0.81149,0.98512,0.88169,0.94815,0.84334,0.97026,0.89882,0.94916,0.83178,0.43921,0.60271,0.22174,0.8146,0.0002576,0.0002576,0.0002576
90,2763.82,0.42953,0.558,0.239,0.8126,0.96535,0.90304,0.95141,0.84534,0.96594,0.90113,0.94977,0.82788,0.43362,0.59597,0.22089,0.81264,0.0002378,0.0002378,0.0002378
91,2810.8,0.41778,0.58143,0.22819,0.80015,0.97376,0.89465,0.9516,0.84144,0.96706,0.90395,0.94935,0.82794,0.4416,0.61247,0.22295,0.81582,0.000218,0.000218,0.000218
92,2844.57,0.40879,0.56394,0.22184,0.79781,0.95589,0.91311,0.95024,0.84458,0.98028,0.89465,0.95262,0.82648,0.43456,0.60751,0.22155,0.8139,0.0001982,0.0001982,0.0001982
93,2878.5,0.40528,0.55308,0.21882,0.79514,0.94806,0.91572,0.94749,0.84577,0.97371,0.90034,0.95143,0.83101,0.42937,0.59927,0.21741,0.81241,0.0001784,0.0001784,0.0001784
94,2913.4,0.40633,0.55648,0.21758,0.79715,0.97819,0.89303,0.94863,0.84468,0.97915,0.89465,0.9492,0.82802,0.43888,0.61041,0.21862,0.81609,0.0001586,0.0001586,0.0001586
95,2948.59,0.40008,0.54618,0.21523,0.79591,0.9702,0.89707,0.94971,0.84526,0.96847,0.89619,0.94825,0.82959,0.42888,0.5943,0.21398,0.81434,0.0001388,0.0001388,0.0001388
96,2982.22,0.40312,0.54841,0.21551,0.79527,0.9718,0.8938,0.94916,0.84674,0.9771,0.89887,0.95274,0.82916,0.42496,0.59485,0.21606,0.81134,0.000119,0.000119,0.000119
97,3016.52,0.40354,0.55286,0.21541,0.7962,0.97322,0.89303,0.94949,0.84676,0.97533,0.89713,0.95096,0.83186,0.42781,0.60013,0.21421,0.81232,9.92e-05,9.92e-05,9.92e-05
98,3053.89,0.40016,0.56196,0.21544,0.79601,0.94741,0.91734,0.95021,0.84551,0.96715,0.90676,0.95359,0.8326,0.42874,0.5889,0.21442,0.81372,7.94e-05,7.94e-05,7.94e-05
99,3090.19,0.3927,0.53973,0.20977,0.79307,0.94979,0.91086,0.95068,0.84766,0.95337,0.9141,0.95246,0.83584,0.43092,0.59172,0.21396,0.8142,5.96e-05,5.96e-05,5.96e-05
100,3126.77,0.39824,0.5549,0.21213,0.79682,0.95407,0.9091,0.9483,0.8488,0.97486,0.89465,0.95335,0.83544,0.4294,0.59888,0.21374,0.81364,3.98e-05,3.98e-05,3.98e-05
