epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,688.121,0.50741,0.28932,0.82647,0.9526,0.87954,0.92819,0.8139,0.4606,0.26554,0.82167,0.0011684,0.0011684,0.0011684
44,703.127,0.50119,0.28656,0.82767,0.96494,0.88979,0.93893,0.81875,0.4599,0.25157,0.82099,0.0011486,0.0011486,0.0011486
45,719.467,0.49881,0.28455,0.82695,0.97288,0.87226,0.93592,0.82155,0.4681,0.25716,0.82218,0.0011288,0.0011288,0.0011288
46,735.703,0.49319,0.28353,0.82943,0.97451,0.88169,0.93669,0.82234,0.45899,0.25411,0.8211,0.001109,0.001109,0.001109
47,752.298,0.49124,0.28052,0.82415,0.96637,0.88331,0.93727,0.83036,0.46014,0.24566,0.82136,0.0010892,0.0010892,0.0010892
48,769.584,0.49041,0.27888,0.82505,0.973,0.87618,0.93835,0.8256,0.46201,0.2499,0.82134,0.0010694,0.0010694,0.0010694
49,785.775,0.49394,0.28093,0.82731,0.96822,0.88655,0.94227,0.8315,0.45983,0.24566,0.81942,0.0010496,0.0010496,0.0010496
50,802.43,0.48794,0.27622,0.82376,0.97475,0.87602,0.93899,0.83254,0.45307,0.2479,0.81957,0.0010298,0.0010298,0.0010298
51,818.934,0.48978,0.27462,0.82411,0.96412,0.88006,0.93395,0.82424,0.45912,0.24985,0.82026,0.00101,0.00101,0.00101
52,835.337,0.48259,0.27262,0.82379,0.94382,0.89858,0.93882,0.82538,0.45082,0.24121,0.81946,0.0009902,0.0009902,0.0009902
53,851.523,0.49429,0.27862,0.82473,0.98279,0.87844,0.93497,0.82335,0.46622,0.24598,0.81969,0.0009704,0.0009704,0.0009704
54,867.983,0.48222,0.27059,0.82272,0.96983,0.88574,0.93647,0.82637,0.45424,0.24627,0.82207,0.0009506,0.0009506,0.0009506
55,883.852,0.48656,0.27393,0.82285,0.96815,0.88679,0.93796,0.82805,0.45682,0.24119,0.81959,0.0009308,0.0009308,0.0009308
56,899.311,0.48525,0.27298,0.82295,0.96994,0.88899,0.93834,0.82921,0.45221,0.24115,0.81753,0.000911,0.000911,0.000911
57,914.843,0.48482,0.27314,0.82341,0.9731,0.87936,0.93516,0.82195,0.45664,0.2489,0.81862,0.0008912,0.0008912,0.0008912
58,930.795,0.47993,0.26888,0.82179,0.97199,0.88493,0.93903,0.82707,0.44486,0.24331,0.81657,0.0008714,0.0008714,0.0008714
59,946.001,0.47542,0.26644,0.82241,0.94976,0.90113,0.93906,0.83183,0.43709,0.23273,0.8159,0.0008516,0.0008516,0.0008516
60,960.822,0.48253,0.27132,0.82177,0.96409,0.88169,0.93776,0.82879,0.4451,0.24332,0.81788,0.0008318,0.0008318,0.0008318
61,975.45,0.482,0.26996,0.82202,0.97559,0.87844,0.93685,0.82344,0.4459,0.23908,0.81795,0.000812,0.000812,0.000812
62,990.627,0.49058,0.27205,0.82242,0.96296,0.88474,0.93686,0.82863,0.44055,0.24036,0.81698,0.0007922,0.0007922,0.0007922
63,1007.05,0.47255,0.26117,0.81928,0.97693,0.87682,0.93834,0.82939,0.43544,0.23448,0.81648,0.0007724,0.0007724,0.0007724
64,1023.71,0.47323,0.26164,0.81863,0.96666,0.89275,0.93994,0.82915,0.44997,0.23643,0.82028,0.0007526,0.0007526,0.0007526
65,1039.58,0.47584,0.26143,0.8214,0.95037,0.89996,0.93982,0.83212,0.44142,0.23857,0.82043,0.0007328,0.0007328,0.0007328
66,1054.64,0.47079,0.25888,0.81976,0.95223,0.90113,0.93809,0.83294,0.45238,0.236,0.81839,0.000713,0.000713,0.000713
67,1069.82,0.47084,0.25909,0.82105,0.94447,0.90113,0.94051,0.82967,0.44997,0.23182,0.81927,0.0006932,0.0006932,0.0006932
68,1085,0.47378,0.2617,0.81985,0.97339,0.88923,0.93769,0.82891,0.44872,0.23307,0.82019,0.0006734,0.0006734,0.0006734
69,1100.22,0.46948,0.25494,0.81829,0.96852,0.88655,0.93452,0.8312,0.44987,0.23587,0.82001,0.0006536,0.0006536,0.0006536
70,1115.98,0.46567,0.25553,0.8177,0.98374,0.88248,0.94229,0.83401,0.44626,0.23016,0.81758,0.0006338,0.0006338,0.0006338
71,1131.97,0.46918,0.25626,0.81778,0.97689,0.89084,0.93779,0.82478,0.45493,0.24247,0.82003,0.000614,0.000614,0.000614
72,1147.39,0.47082,0.25509,0.81879,0.97215,0.88655,0.93696,0.83235,0.45571,0.23583,0.81945,0.0005942,0.0005942,0.0005942
73,1162.54,0.45765,0.24853,0.8141,0.97007,0.89291,0.94042,0.83156,0.44922,0.23132,0.81996,0.0005744,0.0005744,0.0005744
74,1177.72,0.45948,0.24875,0.81616,0.97028,0.88493,0.93804,0.83494,0.44434,0.22995,0.81789,0.0005546,0.0005546,0.0005546
75,1193.03,0.4603,0.25007,0.81598,0.96519,0.88979,0.94201,0.83073,0.44603,0.22781,0.8193,0.0005348,0.0005348,0.0005348
76,1208.2,0.45789,0.24931,0.81516,0.96996,0.88966,0.93782,0.82965,0.44761,0.22866,0.81878,0.000515,0.000515,0.000515
77,1223.35,0.45531,0.24742,0.81498,0.96141,0.89627,0.94122,0.8328,0.44715,0.22417,0.8185,0.0004952,0.0004952,0.0004952
78,1238.48,0.45516,0.24648,0.81776,0.96751,0.88493,0.94307,0.83253,0.44328,0.22442,0.81846,0.0004754,0.0004754,0.0004754
79,1253.79,0.45856,0.2483,0.81627,0.97156,0.88579,0.93572,0.8306,0.44537,0.23066,0.81873,0.0004556,0.0004556,0.0004556
80,1268.65,0.45431,0.24407,0.81681,0.96001,0.89494,0.9415,0.83174,0.44763,0.22407,0.81848,0.0004358,0.0004358,0.0004358
81,1283.23,0.45654,0.24433,0.8157,0.9632,0.89089,0.94324,0.83272,0.44686,0.22914,0.81961,0.000416,0.000416,0.000416
82,1298.04,0.44877,0.24179,0.81461,0.97694,0.88817,0.94278,0.83697,0.44769,0.22597,0.82156,0.0003962,0.0003962,0.0003962
83,1312.87,0.4504,0.24147,0.81511,0.98012,0.87881,0.94064,0.83345,0.44914,0.22848,0.81901,0.0003764,0.0003764,0.0003764
84,1327.83,0.44487,0.23765,0.81412,0.9568,0.89741,0.94069,0.83048,0.45582,0.22711,0.82026,0.0003566,0.0003566,0.0003566
85,1343.31,0.45276,0.23942,0.81518,0.9767,0.88006,0.94023,0.83182,0.44958,0.22645,0.82042,0.0003368,0.0003368,0.0003368
86,1359.03,0.44831,0.23673,0.81531,0.95551,0.906,0.94533,0.83673,0.44568,0.22372,0.81793,0.000317,0.000317,0.000317
87,1376.56,0.44654,0.23706,0.81168,0.97353,0.88817,0.9421,0.8349,0.44424,0.22412,0.81741,0.0002972,0.0002972,0.0002972
88,1393.41,0.44757,0.23709,0.81213,0.97771,0.88817,0.94113,0.83432,0.45104,0.22393,0.81951,0.0002774,0.0002774,0.0002774
89,1409.07,0.44047,0.23293,0.81327,0.9706,0.89465,0.94497,0.8354,0.44708,0.22438,0.81824,0.0002576,0.0002576,0.0002576
90,1424.61,0.44447,0.23494,0.81442,0.96038,0.90357,0.94429,0.83433,0.44624,0.22478,0.81831,0.0002378,0.0002378,0.0002378
91,1452.5,0.42574,0.22273,0.80149,0.96104,0.89627,0.94165,0.83291,0.44809,0.22724,0.81935,0.000218,0.000218,0.000218
92,1467.53,0.41813,0.21889,0.79899,0.97288,0.88169,0.94134,0.83318,0.44869,0.22412,0.81952,0.0001982,0.0001982,0.0001982
93,1482.57,0.41525,0.21475,0.79681,0.97154,0.88529,0.94053,0.83631,0.4501,0.22421,0.82051,0.0001784,0.0001784,0.0001784
94,1497.44,0.41426,0.21309,0.79704,0.96299,0.88572,0.94005,0.83487,0.44948,0.22188,0.82108,0.0001586,0.0001586,0.0001586
95,1512.62,0.40945,0.2115,0.79698,0.97479,0.87751,0.93793,0.83384,0.4476,0.22483,0.82232,0.0001388,0.0001388,0.0001388
96,1527.58,0.4126,0.21224,0.79639,0.97557,0.88493,0.94233,0.83269,0.44688,0.22401,0.81884,0.000119,0.000119,0.000119
97,1542.7,0.41004,0.2105,0.79602,0.9637,0.89303,0.94157,0.83488,0.44769,0.22115,0.81969,9.92e-05,9.92e-05,9.92e-05
98,1558.26,0.40907,0.21024,0.79695,0.96787,0.88817,0.94404,0.83676,0.45061,0.22092,0.81989,7.94e-05,7.94e-05,7.94e-05
99,1573.58,0.40309,0.20513,0.79418,0.96332,0.8938,0.94224,0.83385,0.44792,0.21845,0.81978,5.96e-05,5.96e-05,5.96e-05
100,1588.65,0.40776,0.20706,0.79779,0.97672,0.88414,0.94139,0.83517,0.44796,0.21858,0.81957,3.98e-05,3.98e-05,3.98e-05
