plant_id;view_id;instance_id;cluster_id;num_points;created;centroid_world_x;centroid_world_y;centroid_world_z
7;0;1;1;17131;1;-0.0922655314207077;-0.08974043279886246;-0.2636674642562866
7;1;1;2;7870;1;-0.03169046342372894;-0.019807791337370872;-0.3281194567680359
7;2;1;3;41505;1;-0.13268718123435974;0.001623205840587616;-0.22050116956233978
