cluster_id;centroid_x;centroid_y;centroid_z;num_points;views_seen;ply_file
1;-0.0980120599269867;-0.08139681816101074;-0.2583431005477905;9027;0;cluster_001.ply
2;-0.029678910970687866;-0.008117514662444592;-0.31737077236175537;7282;1;cluster_002.ply
